Species,Publication Author,LSID,Category of Use,Crop Wild Relative,Source
Frankenia salina,(Molina) I.M.Johnst.,105655-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Frankenia thymifolia,Desf.,366349-1,Environmental Uses,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Gisekia africana,(Lour.) Kuntze,361938-1,Animal Food; Human Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Gisekia pharnaceoides,L.,323294-2,Animal Food; Gene Sources; Human Food; Materials; Medicines; Poisons,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Gymnocarpos decandrus,Forssk.,434754-1,Animal Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Limeum fenestratum,(Fenzl) Heimerl,362396-1,Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Limeum obovatum,Vicary,,Gene Sources; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Limeum viscosum,(J.Gay) Fenzl,362409-1,Animal Food; Gene Sources; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Useful Plants of West Tropical Africa (UPWTA)
Corbichonia decumbens,(Forssk.) Exell,361371-1,Animal Food; Gene Sources; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Lophiocarpus polystachyus,Turcz.,166079-1,Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Lophiocarpus tenuissimus,Hook.f.,166080-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Microtea debilis,Sw.,676291-1,Medicines,False,Medicinal Plant Names Services (MPNS); Malaria and Fever in Latin America dataset
Corrigiola litoralis,L.,326909-2,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Glinus lotoides,L.,327312-2,Animal Food; Gene Sources; Human Food; Invertebrate Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Glinus oppositifolius,(L.) Aug.DC.,361968-1,Animal Food; Gene Sources; Human Food; Materials; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP); Useful Plants of West Tropical Africa (UPWTA)
Glinus radiatus,(Ruiz & Pav.) Rohrb.,1008757-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Hypertelis cerviana,(L.) Thulin,77158665-1,Animal Food; Gene Sources; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS)
Mollugo verticillata,L.,280992-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Paramollugo nudicaulis,(Lam.) Thulin,77158664-1,Gene Sources; Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS)
Pharnaceum detonsum,Fenzl,363900-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pharnaceum dichotomum,L.f.,363901-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pharnaceum lineare,L.f.,363917-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Psammotropha mucronata,(Thunb.) Fenzl,364041-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Psammotropha myriantha,Sond.,364042-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Trigastrotheca pentaphylla,(L.) Thulin,77158653-1,Animal Food; Gene Sources; Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Trigastrotheca stricta,(L.) Thulin,77158654-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Calandrinia affinis,Gillies ex Arn.,40697-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Calandrinia ciliata,(Ruiz & Pav.) DC.,698357-1,Human Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Calandrinia eremaea,Ewart,698394-1,Animal Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Calandrinia nitida,(Ruiz & Pav.) DC.,698474-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Calandrinia polyandra,Benth.,698498-1,Human Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Cistanthe ambigua,(S.Watson) Carolin ex Hershk.,274686-2,Human Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Cistanthe densiflora,(Barnéoud) Hershk.,962654-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cistanthe grandiflora,(Lindl.) Schltdl.,941529-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cistanthe maritima,(Nutt.) Carolin ex Hershk.,1194274-2,Human Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Claytonia lanceolata,Pursh,59958-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Claytonia multiscapa,Rydb.,291413-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Claytonia perfoliata,Donn ex Willd.,60021-2,Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Claytonia sibirica,L.,311959-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Claytonia tuberosa,Pall. ex Schult.,60092-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Claytonia virginica,L.,319144-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Lewisia brachycalyx,Engelm. ex A.Gray,139307-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Lewisia columbiana,(Howell ex A.Gray) B.L.Rob.,139309-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Lewisia cotyledon,(S.Watson) B.L.Rob.,139315-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Lewisia pygmaea,(A.Gray) B.L.Rob.,139334-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Lewisia rediviva,Pursh,317390-2,Human Food; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Lewisiopsis tweedyi,(A.Gray) Govaerts,1010001-1,Environmental Uses,False,
Montiopsis gilliesii,(Hook. & Arn.) D.I.Ford,971969-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Montiopsis umbellata,(Ruiz & Pav.) D.I.Ford,971977-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Phemeranthus parviflorus,(Nutt.) Kiger,1099765-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Nepenthes ampullaria,Jack,603652-1,Environmental Uses; Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Nepenthes boschiana,Korth.,603664-1,Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Nepenthes distillatoria,L.,603691-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepenthes khasiana,Hook.f.,603738-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepenthes maxima,Reinw.,603758-1,Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Nepenthes mirabilis,(Lour.) Druce,603761-1,Environmental Uses; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Nepenthes papuana,Danser,603778-1,Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Nepenthes pervillei,Blume,603782-1,Environmental Uses; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Nepenthes rafflesiana,Jack,603790-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Nepenthes reinwardtiana,Miq.,603794-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Abronia elliptica,A.Nelson,326890-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Abronia fragrans,Nutt. ex Hook.,326889-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Abronia latifolia,Eschsch.,326895-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Abronia maritima,Nutt. ex S.Watson,326891-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Abronia turbinata,Torr. ex S.Watson,326892-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Abronia villosa,S.Watson,122-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Allionia choisyi,Standl.,297530-2,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plant Project (UPP)
Allionia incarnata,L.,8606-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Boerhavia coccinea,Mill.,326873-2,Animal Food; Gene Sources; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Useful Plants of West Tropical Africa (UPWTA); Malaria and Fever in Latin America dataset
Boerhavia diffusa,L.,326899-2,Animal Food; Gene Sources; Human Food; Medicines; Poisons; Social Uses,False,
Boerhavia elegans,Choisy,604185-1,Animal Food; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Boerhavia erecta,L.,319111-2,Animal Food; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Boerhavia mutabilis,R.Br.,604231-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Boerhavia procumbens,Banks ex Roxb.,604252-1,Animal Food; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Boerhavia repens,L.,604264-1,Animal Food; Gene Sources; Human Food; Materials; Medicines; Poisons; Social Uses,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Bougainvillea buttiana,Holttum & Standl.,35442-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Bougainvillea campanulata,Heimerl,604364-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Bougainvillea glabra,Choisy,35444-2,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Malaria and Fever in Latin America dataset
Bougainvillea spectabilis,Willd.,604358-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP)
Bougainvillea stipitata,Griseb.,324632-2,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Ceodes brunoniana,(Endl.) Skottsb.,604430-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Ceodes umbellifera,J.R.Forst. & G.Forst.,604437-1,Animal Food; Fuels; Materials; Medicines,False,Medicinal Plant Names Services (MPNS)
Commicarpus ambiguus,Meikle,901740-1,Animal Food,False,
Commicarpus chinensis,(L.) Heimerl,604461-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Commicarpus fallacissimus,(Heimerl) Heimerl,604465-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Commicarpus grandiflorus,(A.Rich.) Standl.,63934-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Commicarpus helenae,(Roem. & Schult.) Meikle,604470-1,Animal Food; Medicines,False,Medicinal Plant Names Services (MPNS)
Commicarpus pentandrus,(Burch.) Heimerl,604475-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Commicarpus plumbagineus,(Cav.) Standl.,63935-2,Animal Food; Medicines,False,Medicinal Plant Names Services (MPNS)
Commicarpus scandens,(L.) Standl.,63937-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Commicarpus sinuatus,Meikle,604483-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Guapira asperula,(Standl.) Lundell,113913-2,Materials,False,Kew's Economic Botany Collection (EcBot)
Guapira cuspidata,(Heimerl) Lundell,113926-2,Materials,False,Kew's Economic Botany Collection (EcBot)
Guapira discolor,(Spreng.) Little,113927-2,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Guapira fragrans,(Dum.Cours.) Little,113934-2,Materials,False,Kew's Economic Botany Collection (EcBot)
Guapira laxiflora,(Choisy) Lundell,113946-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Guapira obtusata,(Jacq.) Little,113958-2,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Guapira pernambucensis,(Casar.) Lundell,113968-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Guapira tomentosa,(Casar.) Lundell,113987-2,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Mirabilis aggregata,(Ortega) Cav.,1049514-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Mirabilis albida,(Walter) Heimerl,162535-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Mirabilis alipes,(S.Watson) Pils,162538-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Mirabilis coccinea,(Torr.) Benth. & Hook.f.,1140645-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Mirabilis expansa,(Ruiz & Pav.) Standl.,162575-2,Human Food,False,Germplasm Resources Information Network from USDA (GRIN)
Mirabilis glabrifolia,(Ortega) I.M.Johnst.,162582-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Mirabilis greenei,S.Watson,162587-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Mirabilis himalaica,(Edgew.) Heimerl,604662-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Mirabilis jalapa,L.,162591-2,Environmental Uses; Human Food; Materials; Medicines; Poisons; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP); Useful Plants of West Tropical Africa (UPWTA)
Mirabilis laevis,(Benth.) Curran,162601-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Mirabilis linearis,(Pursh) Heimerl,604673-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Mirabilis multiflora,(Torr.) A.Gray,1172078-2,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Mirabilis nyctaginea,(Michx.) MacMill.,1036852-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Mirabilis oxybaphoides,(A.Gray) A.Gray,1188028-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Neea floribunda,Poepp. & Endl.,604762-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Neea psychotrioides,Donn.Sm.,168038-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Neea verticillata,Ruiz & Pav.,604820-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Phaeoptilum spinosum,Radlk.,604914-1,Animal Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Pisonia aculeata,L.,326897-2,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA); Malaria and Fever in Latin America dataset
Pisonia capitata,(S.Watson) Standl.,200010-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Pisonia cauliflora,Scheff.,604946-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Pisonia lanceolata,(Poir.) Choisy,605008-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pisonia muelleriana,Warb.,605040-1,Animal Food; Human Food,False,Useful Plants of New Guinea
Pisonia rotundata,Griseb.,200117-2,Materials,False,Kew's Economic Botany Collection (EcBot)
Pisonia zapallo,Griseb.,605110-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Rockia sandwicensis,(Hillebr.) Heimerl,605131-1,Materials,False,
Salpianthus macrodontus,Standl.,226285-2,Medicines,False,Medicinal Plant Names Services (MPNS)
