scientificname,dominant biome,dominant climatic moisture index,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction,Category of Use,Crop Wild Relative,native to,native range
gymnosporia chevalieri,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Viet Nam,South-eastern Asia
gymnosporia crenata,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Cook Islands|Fiji|French Polynesia|Niue|Samoa|Tonga,Polynesia|Melanesia
gymnosporia devenishii,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (2) | dry sub-humid (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,South Africa,Southern Africa
gymnosporia dhofarensis,tropical (min temp coldest month 18°C or higher) (1),arid (9),,,,,,,,,,,,,,,,,,,,,,,Oman|Yemen,Western Asia
gymnosporia diversifolia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,woody,,,,,,woody,,,,,,,,,,"China|Japan|Malaysia|Philippines|Taiwan, Province of China|Thailand|Viet Nam",Eastern Asia|South-eastern Asia
gymnosporia drummondii,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,,,Kenya|Madagascar|United Republic of Tanzania,Eastern Africa
gymnosporia engleriana,,,,,,,,,,,,,,,,,,,,,,,,,Burundi|Democratic Republic of the Congo|Ethiopia|Kenya|Rwanda|Uganda,Eastern Africa|Middle Africa
gymnosporia falconeri,,,,,,,,,,,,,,,,,,,,,,,,,India,Southern Asia
gymnosporia forsskaoliana,tropical (min temp coldest month 18°C or higher) (1),semi-arid (2) | arid (3),,,,,,,,,,,,,,,,,,,,,,,Yemen,Western Asia
gymnosporia glaucophylla,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,woody,,,,,,woody,,,,,,,,,,Eswatini|Mozambique|South Africa,Southern Africa|Eastern Africa
gymnosporia gracilipes,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,,,,,,,,,,,,,,,Human Food; Medicines,False,Angola|Cameroon|Central African Republic|Democratic Republic of the Congo|Uganda|United Republic of Tanzania,Middle Africa|Eastern Africa
gymnosporia gracilis,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,,,,,,,,,,,,,,,,,Kenya|United Republic of Tanzania,Eastern Africa
gymnosporia grandifolia,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Eswatini|South Africa|Zimbabwe,Southern Africa|Eastern Africa
gymnosporia gurueensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Mozambique,Eastern Africa
gymnosporia harenensis,,,,,,,,,,,,,,,,,,,,,,,,,Ethiopia,Eastern Africa
gymnosporia harveyana,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,ST,,,,,,,,,,,,,,,,Eswatini|Malawi|Mozambique|South Africa|United Republic of Tanzania|Zimbabwe,Southern Africa|Eastern Africa
gymnosporia hemipterocarpa,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,,,Eswatini|South Africa,Southern Africa
gymnosporia heterophylla,,,,,,,,,Free-standing,,,,,,,,,,,,,,Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Poisons,False,Eswatini|South Africa,Southern Africa
gymnosporia heyneana,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,India,Southern Asia
gymnosporia keniensis,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,,,,,,,,,,,,,,,,,Kenya|Uganda,Eastern Africa
gymnosporia linearis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),semi-arid (9) | arid (9),,,,,,,shrub/woody,,,,,,woody,,,,,,,,Animal Food; Environmental Uses; Materials,False,Namibia|South Africa,Southern Africa
gymnosporia littoralis,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (1),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Malaysia|Thailand,South-eastern Asia
gymnosporia maranguensis,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Botswana|Democratic Republic of the Congo|Eswatini|Ethiopia|Kenya|Mozambique|Namibia|Somalia|South Africa|United Republic of Tanzania|Zambia|Zimbabwe,Southern Africa|Middle Africa|Eastern Africa
gymnosporia marcanii,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,,,,,,,,,,,,,,,Medicines,False,Cambodia|Malaysia|Thailand|Viet Nam,South-eastern Asia
gymnosporia masindei,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,,,Kenya|United Republic of Tanzania,Eastern Africa
gymnosporia matoboensis,,,,,,,,,,,,,,,,,,,,,,,,,Zimbabwe,Eastern Africa
gymnosporia montana,,,,,,,,,Climber,,,,,,,,,,,,,,Materials,False,Bangladesh|India,Southern Asia
gymnosporia mossambicensis,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,woody,,,,,,W,,,,,,,,Medicines,False,Eswatini|Mozambique|South Africa|Uganda|United Republic of Tanzania|Zimbabwe,Southern Africa|Eastern Africa
gymnosporia nemorosa,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,tree,,,,,,,,,,,,,,Materials,False,Eswatini|South Africa,Southern Africa
gymnosporia nitida,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
gymnosporia obscura,tropical (min temp coldest month less than 18°C) (9),moist (9) | dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,Human Food; Medicines,False,Burundi|Central African Republic|Ethiopia|Kenya|South Sudan|Uganda|United Republic of Tanzania,Eastern Africa|Middle Africa
gymnosporia ovata,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,,,,,,,,,,,,,,,,,India,Southern Asia
gymnosporia parviflora,tropical (min temp coldest month 18°C or higher) (1),semi-arid (2) | arid (3),,,,,,,,,,,,,,,,,,,,,,,Saudi Arabia|Yemen,Western Asia
gymnosporia putterlickioides,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Ethiopia|Kenya|Malawi|Mozambique|Somalia|South Africa|United Republic of Tanzania|Zambia|Zimbabwe,Eastern Africa|Southern Africa
gymnosporia richardsiae,tropical (min temp coldest month less than 18°C) (1),moist (1),,,,,,,,,,,,,,,,,,,,,,,United Republic of Tanzania,Eastern Africa
gymnosporia rothiana,,,,,,,,,,,,,,,,,,,,,,,,,India,Southern Asia
gymnosporia rubra,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Eswatini|South Africa,Southern Africa
gymnosporia rufa,tropical (min temp coldest month less than 18°C) (9),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Bhutan|China|India|Myanmar|Nepal,Southern Asia|Eastern Asia|South-eastern Asia
gymnosporia senegalensis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9) | semi-arid (9),,,,,,,tree,,,,,,W,,,,,,,,Animal Food; Environmental Uses; Fuels; Gene Sources; Human Food; Invertebrate Food; Materials; Medicines; Poisons; Social Uses,False,Afghanistan|Algeria|Angola|Bangladesh|Benin|Botswana|Burkina Faso|Burundi|Cameroon|Central African Republic|Chad|Congo|Côte dIvoire|Democratic Republic of the Congo|Djibouti|Eritrea|Eswatini|Ethiopia|Gambia|Ghana|Guinea|Guinea-Bissau|India|Iran (Islamic Republic of)|Kenya|Madagascar|Malawi|Mali|Mauritania|Morocco|Mozambique|Namibia|Niger|Nigeria|Oman|Pakistan|Rwanda|Saudi Arabia|Senegal|Seychelles|Sierra Leone|Somalia|South Africa|Spain|Sudan|Togo|Uganda|United Republic of Tanzania|Yemen|Zambia|Zimbabwe,Southern Asia|Northern Africa|Middle Africa|Western Africa|Southern Africa|Eastern Africa|Western Asia|Southern Europe
gymnosporia serrata,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,Gene Sources; Human Food; Medicines,False,Eritrea|Ethiopia,Eastern Africa
gymnosporia sikkimensis,,,,,,,,,,,,,,,,,,,,,,,,,India,Southern Asia
gymnosporia spinosa,,,,,,,,,trees,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
gymnosporia stylosa,,,,,,,,,,,,,,,,,,,,,,,Materials,False,Malaysia|Thailand|Viet Nam,South-eastern Asia
gymnosporia variabilis,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,China,Eastern Asia
hartogiopsis trilobocarpa,,,,,,,,,,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
haydenoxylon calzadae,,,,,,,,,,,,,,,,,,,,,,,,,Costa Rica|Mexico,Central America
haydenoxylon gentryi,tropical (min temp coldest month less than 18°C) (9) | subtropical (9) | temperate (9),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Colombia|Ecuador|Peru,South America
haydenoxylon urbanianum,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|Peru,South America
hexaspora pubescens,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
hylenaea comosa,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Climber,,,,,,W,,,,,,,,,,Brazil|Colombia|Ecuador|French Guiana|Guyana|Haiti|Peru|Suriname|Trinidad and Tobago|Venezuela (Bolivarian Republic of),South America|Caribbean
kokoona coriacea,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
kokoona filiformis,,,,,,,,,,,,,,,,,,,,,,,,,Myanmar|Thailand,South-eastern Asia
kokoona leucoclada,,,,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
kokoona littoralis,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree/woody,,,,,,W,,,,,,,,,,Brunei Darussalam|Indonesia|Malaysia|Myanmar|Thailand,South-eastern Asia
kokoona ochracea,,,,,,,,,tree/woody,,,,,,woody,,,,,,,,,,Indonesia|Malaysia|Philippines,South-eastern Asia
kokoona ovatolanceolata,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,tree/woody,,,,,,woody,,,,,,,,,,Brunei Darussalam|Malaysia,South-eastern Asia
kokoona reflexa,,,,,,,,,tree/woody,,,,,,W,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
kokoona sabahana,,,,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
kokoona sessilis,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
kokoona zeylanica,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,Medicines,False,India|Sri Lanka,Southern Asia
lophopetalum arnhemicum,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,woody,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
lophopetalum beccarianum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,T,,,,,,W,,,,,,,,Medicines,False,Malaysia,South-eastern Asia
lophopetalum duperreanum,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Cambodia|Thailand|Viet Nam,South-eastern Asia
lophopetalum floribundum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,India|Malaysia|Myanmar|Thailand,Southern Asia|South-eastern Asia
lophopetalum glabrum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Climber,,,,,,woody,,,,,,,,,,Brunei Darussalam|Indonesia|Malaysia,South-eastern Asia
lophopetalum javanicum,,,,,,,,,T,,,,,,,,,,,,,,Animal Food; Environmental Uses; Fuels; Materials; Medicines; Poisons,False,Indonesia|Malaysia|Papua New Guinea|Philippines|Thailand|Viet Nam,South-eastern Asia|Melanesia
lophopetalum multinervium,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
lophopetalum pachyphyllum,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,tree,,,,,,W,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
lophopetalum pallidum,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,Materials; Medicines; Poisons,False,Indonesia|Malaysia,South-eastern Asia
lophopetalum rigidum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,T,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
lophopetalum sessilifolium,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,W,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
lophopetalum subobovatum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,,,W,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
lophopetalum torricellense,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree/woody,,,,,,W,,,,,,,,Invertebrate Food; Materials; Social Uses,False,Indonesia|Papua New Guinea,South-eastern Asia|Melanesia
lophopetalum wallichii,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,tree/woody,,,,,,W,,,,,,,,Materials,False,Cambodia|India|Indonesia|Lao People's Democratic Republic|Myanmar|Thailand,South-eastern Asia|Southern Asia
lophopetalum wightianum,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,long lived perennial >= 50 yrs.,,W,,,,,,,,Materials,False,Brunei Darussalam|Cambodia|India|Indonesia|Lao People's Democratic Republic|Malaysia|Myanmar|Pakistan|Singapore|Thailand|Viet Nam,South-eastern Asia|Southern Asia
lydenburgia abbottii,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,,,,,,,W,,,,,,,,,,South Africa,Southern Africa
lydenburgia cassinoides,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (2) | semi-arid (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,South Africa,Southern Africa
maurocenia frangula,,,,,,,,,tree/woody,,,,,,W,,,,,,,,,,South Africa,Southern Africa
maytenus abbottii,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,South Africa,Southern Africa
maytenus acuminata,,,,yes,,,,,shrub,,,,no,,woody,,,,,,,,Materials; Medicines,False,Angola|Bangladesh|Burundi|Cameroon|Democratic Republic of the Congo|Equatorial Guinea|Eswatini|Gabon|Lesotho|Malawi|Mozambique|Rwanda|South Africa|Uganda|United Republic of Tanzania|Zambia|Zimbabwe,Middle Africa|Southern Asia|Eastern Africa|Southern Africa
maytenus alaternoides,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Bolivia (Plurinational State of)|Peru,South America
maytenus albata,tropical (min temp coldest month 18°C or higher) (1),semi-arid (1),,,,,,,T,,,,,,woody,,,,,,,,,,Lesotho|Mozambique|South Africa,Southern Africa|Eastern Africa
maytenus boaria,tropical (min temp coldest month less than 18°C) (9),moist (9) | dry sub-humid (9),,,,,,,tree,,,,127,,W,,,,,,,,Materials; Medicines,False,Argentina|Bolivia (Plurinational State of)|Brazil|Chile,South America
maytenus boarioides,tropical (min temp coldest month less than 18°C) (9) | subtropical (9) | temperate (9),moist (1),,,,,,,Tree,,,,,,,,,,,,,,,,Ecuador|Peru,South America
maytenus buxifolia,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,Medicines,False,Bahamas|Cayman Islands|Cuba|Dominican Republic|Haiti,Caribbean
maytenus chasei,,,,,,,,,shrub,,,,,,woody,,,,,,,,,,Mozambique|Zimbabwe,Eastern Africa
maytenus cordata,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (2) | dry sub-humid (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,South Africa,Southern Africa
maytenus coriacea,,,,,,,,,,,,,,,,,,,,,,,,,Venezuela (Bolivarian Republic of),South America
maytenus curranii,,,,,,,,,,,,,,,,,,,,,,,,,Venezuela (Bolivarian Republic of),South America
maytenus cymosa,,,,,,,,,Tree,,,,,,,,,,,,,,,,British Virgin Islands|Puerto Rico|United States Virgin Islands,Caribbean
maytenus durifolia,tropical (min temp coldest month 18°C or higher) (1),semi-arid (1),,,,,,,Tree,,,,,,,,,,,,,,,,Peru,South America
maytenus grisea,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Costa Rica|Guatemala,Central America
maytenus guyanensis,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,non-succulent,,,,,,woody,,,,,,,,,,Brazil|Colombia|Costa Rica|Dominica|French Guiana|Guadeloupe|Guyana|Martinique|Nicaragua|Saint Lucia|Suriname|Venezuela (Bolivarian Republic of),South America|Central America|Caribbean
maytenus jelskii,tropical (min temp coldest month less than 18°C) (9),dry sub-humid (9),,,,,,,Shrub,,,,,,,,,,,,,,,,Bolivia (Plurinational State of)|Ecuador|Peru,South America
maytenus laxiflora,tropical (min temp coldest month less than 18°C) (9) | subtropical (9),wet (9),,,,,,,,,,,,,,,,,,,,,,,Colombia,South America
maytenus magellanica,,,,,,,,,Tree,,,,,,woody,,,,,,,,,,Argentina|Chile,South America
maytenus meridensis,,,,,,,,,Climber,,,,,,,,,,,,,,,,Colombia|Venezuela (Bolivarian Republic of),South America
maytenus mornicola,,,,,,,,,,,,,,,,,,,,,,,,,Haiti,Caribbean
maytenus oleoides,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9) | semi-arid (9),,yes,,,,,Tree,,,,no,,W,,,,,,,,,,South Africa,Southern Africa
maytenus oleosa,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,South Africa,Southern Africa
maytenus peduncularis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,yes,,,,,Shrub,,,,no,,woody,,,,,,,,Medicines,False,Eswatini|South Africa,Southern Africa
maytenus phyllanthoides,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),semi-arid (9),,,,,,,Shrub,,,,,,woody,,,,,,,diffuse,Medicines,False,Bahamas|Cuba|Mexico|United States of America,Caribbean|Central America|Northern America
maytenus procumbens,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,shrub,,,,,,woody,,,,,,,,,,Democratic Republic of the Congo|Mozambique|South Africa,Middle Africa|Eastern Africa|Southern Africa
maytenus prunifolia,tropical (min temp coldest month less than 18°C) (9) | subtropical (9) | temperate (9),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Colombia|Ecuador,South America
maytenus pseudoboaria,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (2) | semi-arid (3),,,,,,,,,,,,,,,,,,,,,,,Bolivia (Plurinational State of)|Peru,South America
maytenus repanda,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Tree,,,,,,,,,,,,,,,,Mexico,Central America
maytenus reynosioides,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,,,Dominican Republic|Haiti,Caribbean
maytenus umbellata,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,,,,,,,,,,,,,,,,,Portugal,Southern Europe
maytenus undata,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,shrub,,,,,,W,,,,,,,,Animal Food; Environmental Uses; Fuels; Gene Sources; Human Food; Invertebrate Food; Materials; Medicines; Social Uses,False,Angola|Botswana|Burundi|Cameroon|Central African Republic|Congo|Côte dIvoire|Democratic Republic of the Congo|Djibouti|Equatorial Guinea|Eritrea|Eswatini|Ethiopia|Gabon|Ghana|Guinea|Kenya|Lesotho|Madagascar|Malawi|Mozambique|Nigeria|Rwanda|Somalia|South Africa|South Sudan|Sudan|Togo|Uganda|United Republic of Tanzania|Zambia|Zimbabwe,Middle Africa|Southern Africa|Eastern Africa|Western Africa|Northern Africa
