species,n,Q05,Q95,A,B,C,D,E,F,G,climatic moisture index
Melaleuca viminea,395,-0.77,-0.1,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca viridiflora,3072,-0.67,0.21,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca xerophila,155,-0.9,-0.83,0,0,0,0,0,1,0,arid (1)
Melanochyla angustifolia,22,0.19,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melanochyla auriculata,13,0.07,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melanochyla axillaris,1,0.59,0.59,1,0,0,0,0,0,0,very wet (1)
Melanochyla beccariana,8,0.41,0.54,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melanochyla bracteata,2,0.35,0.36,0,1,0,0,0,0,0,wet (1)
Melanochyla bullata,5,0.27,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melanochyla castaneifolia,10,0.31,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melanochyla condensata,1,0.53,0.53,1,0,0,0,0,0,0,very wet (1)
Melanochyla densiflora,13,0.27,0.59,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melanochyla elmeri,13,0.08,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melanochyla kunstleri,4,0.24,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melanochyla minutiflora,5,0.26,0.54,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melanochyla nitida,1,0.34,0.34,0,1,0,0,0,0,0,wet (1)
Melanochyla semecarpoides,1,0.58,0.58,1,0,0,0,0,0,0,very wet (1)
Melanochyla tomentosa,5,0.36,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melanococca tomentosa,231,-0.18,0.68,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melanolepis multiglandulosa,355,0.1,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melanolepis vitifolia,1,-0.13,-0.13,0,0,1,0,0,0,0,moist (1)
Melanophylla alnifolia,53,-0.08,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Melanophylla angustior,3,0.43,0.45,0,1,0,0,0,0,0,wet (1)
Melanophylla aucubifolia,80,-0.16,0.47,0,2,3,0,0,0,0,wet (2) | moist (3)
Melanophylla crenata,51,-0.24,0.41,0,2,3,0,0,0,0,wet (2) | moist (3)
Melanophylla dianeae,1,0.28,0.28,0,1,0,0,0,0,0,wet (1)
Melanophylla madagascariensis,5,0.35,0.37,0,1,0,0,0,0,0,wet (1)
Melanophylla modestei,5,0.36,0.57,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melanophylla perrieri,2,0.4,0.45,0,1,0,0,0,0,0,wet (1)
Melanopsidium nigrum,62,-0.32,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Melanoxerus suavissimus,85,-0.69,0.16,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melanoxylon brauna,114,-0.56,0.28,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melastoma ansowii,2,0.4,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melastoma collinum,3,0.35,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melastoma dodecandrum,208,0.15,0.49,0,1,0,0,0,0,0,wet (1)
Melastoma imbricatum,22,-0.12,0.64,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melastoma maraiparaiense,1,0.64,0.64,1,0,0,0,0,0,0,very wet (1)
Melastoma perakense,3,0.54,0.58,1,0,0,0,0,0,0,very wet (1)
Melastoma sabahense,6,0.36,0.64,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melastoma sanguineum,144,-0.03,0.51,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melastoma tanjiewhoei,2,0.27,0.54,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melastoma ultramaficum,9,0.27,0.51,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melia azedarach,15300,-0.7,0.3,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melia volkensii,16,-0.8,0.27,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melianthus comosus,197,-0.89,-0.32,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Melicoccus antioquensis,1,0.29,0.29,0,1,0,0,0,0,0,wet (1)
Melicoccus aymardii,1,0.1,0.1,0,1,0,0,0,0,0,wet (1)
Melicoccus bijugatus,308,-0.46,0.42,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Melicoccus espiritosantensis,7,-0.19,-0.15,0,0,1,0,0,0,0,moist (1)
Melicoccus jimenezii,1,-0.38,-0.38,0,0,0,1,0,0,0,dry sub-humid (1)
Melicoccus lepidopetalus,33,-0.43,0.04,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Melicoccus novogranatensis,9,0.51,0.53,1,0,0,0,0,0,0,very wet (1)
