species,n,Q05,Q95,A,B,C,D,E,F,G,climatic moisture index
Abarema villosa,32,-0.4,0.28,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Abarema zolleriana,14,-0.13,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Abatia mexicana,32,-0.27,0.24,0,2,3,0,0,0,0,wet (2) | moist (3)
Abatia parviflora,170,-0.41,0.58,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Abatia rugosa,2,-0.67,-0.54,0,0,0,0,1,0,0,semi-arid (1)
Abatia spicata,9,-0.31,-0.03,0,0,1,0,0,0,0,moist (1)
Abies alba,30617,-0.13,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abies amabilis,324,0.09,0.77,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abies balsamea,4671,-0.15,0.54,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abies beshanzuensis,2,0.3,0.31,0,1,0,0,0,0,0,wet (1)
Abies bracteata,46,-0.52,0.11,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Abies cephalonica,178,-0.34,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Abies chensiensis,31,-0.4,0.27,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Abies cilicica,42,-0.46,0.05,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Abies concolor,2014,-0.67,0.38,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Abies delavayi,63,-0.36,0.64,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Abies densa,22,-0.47,0.54,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Abies durangensis,97,-0.76,-0.09,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Abies fabri,21,-0.36,0.31,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Abies fargesii,73,-0.46,0.2,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Abies firma,533,0.22,0.64,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abies forrestii,100,-0.34,0.24,0,2,3,0,0,0,0,wet (2) | moist (3)
Abies fraseri,98,0.01,0.58,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abies grandis,3903,-0.21,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abies guatemalensis,232,-0.56,0.22,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Abies hickelii,105,-0.5,0.39,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Abies hidalgensis,5,-0.48,-0.28,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Abies holophylla,132,-0.08,0.41,0,2,3,0,0,0,0,wet (2) | moist (3)
Abies homolepis,289,0.0,0.69,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abies kawakamii,132,0.56,0.85,1,0,0,0,0,0,0,very wet (1)
Abies koreana,169,-0.14,0.68,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abies lasiocarpa,1029,-0.51,0.75,2,9,9,9,3,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (9) | semi-arid (3)
Abies magnifica,312,-0.47,0.49,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Abies mariesii,171,0.25,0.71,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abies nebrodensis,12,-0.43,0.39,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Abies nephrolepis,79,-0.24,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Abies nordmanniana,1594,-0.18,0.41,0,2,3,0,0,0,0,wet (2) | moist (3)
Abies numidica,14,-0.58,0.16,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Abies pindrow,39,-0.61,0.55,2,9,9,9,3,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (9) | semi-arid (3)
Abies pinsapo,431,-0.63,0.26,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Abies procera,1268,0.01,0.75,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abies recurvata,40,-0.46,0.18,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Abies religiosa,699,-0.51,0.28,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Abies sachalinensis,194,0.36,0.49,0,1,0,0,0,0,0,wet (1)
Abies sibirica,848,-0.31,0.2,0,2,3,0,0,0,0,wet (2) | moist (3)
Abies spectabilis,36,-0.48,0.51,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Abies squamata,34,-0.45,-0.01,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Abies veitchii,170,-0.02,0.72,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abies vejarii,104,-0.76,-0.35,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Abies yuanbaoshanensis,1,0.23,0.23,0,1,0,0,0,0,0,wet (1)
Abrahamia deflexa,28,-0.37,-0.05,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Abrahamia ditimena,154,-0.24,0.47,0,2,3,0,0,0,0,wet (2) | moist (3)
Abrahamia grandidieri,67,-0.66,-0.05,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Abrahamia humbertii,8,-0.37,-0.04,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Abrahamia latifolia,12,-0.18,0.57,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abrahamia lecomtei,13,0.05,0.51,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abrahamia longipetiolata,6,-0.21,0.05,0,2,3,0,0,0,0,wet (2) | moist (3)
Abrahamia louvelii,4,0.21,0.47,0,1,0,0,0,0,0,wet (1)
Abrahamia oblongifolia,7,-0.24,0.26,0,2,3,0,0,0,0,wet (2) | moist (3)
Abrahamia pauciflora,4,-0.29,0.22,0,2,3,0,0,0,0,wet (2) | moist (3)
Abrahamia phillipsonii,32,-0.65,-0.39,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Abrahamia sericea,67,-0.23,0.58,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abrahamia suarezensis,28,-0.3,0.14,0,2,3,0,0,0,0,wet (2) | moist (3)
Abrahamia thouvenotii,54,-0.12,0.36,0,2,3,0,0,0,0,wet (2) | moist (3)
Abrahamia viguieri,17,-0.06,0.46,0,2,3,0,0,0,0,wet (2) | moist (3)
Abroma augustum,90,-0.19,0.6,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abuta grandifolia,829,-0.14,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abuta grisebachii,27,0.08,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abuta imene,111,0.0,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abuta panurensis,14,0.07,0.42,0,1,0,0,0,0,0,wet (1)
Abuta rufescens,116,-0.02,0.52,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Abuta sandwithiana,53,0.02,0.44,0,1,0,0,0,0,0,wet (1)
Abuta velutina,29,0.14,0.53,2,3,0,0,0,0,0,very wet (2) | wet (3)
Abutilon densiflorum,96,-0.24,0.23,0,2,3,0,0,0,0,wet (2) | moist (3)
Abutilon giganteum,27,-0.55,0.42,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Abutilon grandidentatum,13,-0.67,-0.56,0,0,0,0,1,0,0,semi-arid (1)
Abutilon grewiifolium,1,-0.01,-0.01,0,0,1,0,0,0,0,moist (1)
Abutilon haenkeanum,14,-0.65,-0.08,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Abutilon herzogianum,17,-0.76,-0.57,0,0,0,0,1,0,0,semi-arid (1)
Abutilon incanum,523,-0.92,-0.57,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Abutilon myrianthum,18,-0.02,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Abutilon pyramidale,3,-0.28,-0.09,0,0,1,0,0,0,0,moist (1)
Abutilon ramiflorum,77,-0.47,0.2,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Abutilon sachetianum,4,-0.21,0.28,0,2,3,0,0,0,0,wet (2) | moist (3)
Abutilon stenopetalum,4,-0.45,-0.37,0,0,0,1,0,0,0,dry sub-humid (1)
Abutilon thyrsodendron,21,-0.62,-0.33,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Abutilon virginianum,4,-0.14,0.13,0,2,3,0,0,0,0,wet (2) | moist (3)
Abutilon whistleri,2,0.68,0.72,1,0,0,0,0,0,0,very wet (1)
Acacia acradenia,526,-0.84,-0.63,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia acrionastes,31,-0.44,0.13,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia aculeatissima,13,-0.54,0.53,2,9,9,9,3,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (9) | semi-arid (3)
Acacia acuminata,918,-0.84,-0.64,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia adsurgens,682,-0.86,-0.72,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia adunca,110,-0.44,-0.16,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Acacia aestivalis,83,-0.81,-0.71,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia alleniana,262,-0.72,-0.12,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia amblyophylla,9,-0.86,-0.8,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia ammobia,81,-0.86,-0.79,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia ammophila,28,-0.81,-0.79,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia ampliata,8,-0.86,-0.79,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia ampliceps,220,-0.86,-0.54,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia anastema,27,-0.88,-0.86,0,0,0,0,0,1,0,arid (1)
Acacia anaticeps,37,-0.83,-0.75,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia ancistrocarpa,789,-0.87,-0.68,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia aneura,5854,-0.9,-0.75,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia anfractuosa,78,-0.82,-0.77,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia angusta,67,-0.66,-0.54,0,0,0,0,1,0,0,semi-arid (1)
Acacia anthochaera,125,-0.83,-0.78,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia aprepta,67,-0.72,-0.58,0,0,0,0,1,0,0,semi-arid (1)
Acacia aptaneura,650,-0.89,-0.78,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia arafurica,25,-0.3,-0.04,0,0,1,0,0,0,0,moist (1)
Acacia araneosa,39,-0.9,-0.84,0,0,0,0,0,1,0,arid (1)
Acacia argyraea,122,-0.76,-0.53,0,0,0,0,1,0,0,semi-arid (1)
Acacia argyrodendron,70,-0.74,-0.58,0,0,0,0,1,0,0,semi-arid (1)
Acacia armillata,23,-0.5,0.06,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia armitii,26,-0.65,0.02,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Acacia assimilis,420,-0.82,-0.67,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia atopa,13,-0.89,-0.86,0,0,0,0,0,1,0,arid (1)
Acacia attenuata,61,-0.25,0.15,0,2,3,0,0,0,0,wet (2) | moist (3)
Acacia aulacocarpa,598,-0.56,0.31,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Acacia auriculiformis,1546,-0.45,0.28,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia auripila,3,-0.86,-0.86,0,0,0,0,0,1,0,arid (1)
Acacia ausfeldii,277,-0.6,-0.42,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia axillaris,148,-0.45,0.04,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia ayersiana,343,-0.9,-0.77,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia baileyana,2394,-0.64,0.13,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Acacia bakeri,159,-0.24,0.33,0,2,3,0,0,0,0,wet (2) | moist (3)
Acacia bancroftiorum,275,-0.67,-0.46,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia barrettiorum,7,-0.32,-0.27,0,0,1,0,0,0,0,moist (1)
Acacia beauverdiana,112,-0.81,-0.74,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia binervata,1327,-0.17,0.34,0,2,3,0,0,0,0,wet (2) | moist (3)
Acacia binervia,733,-0.5,0.21,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia blakei,591,-0.66,0.07,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Acacia blakelyi,258,-0.81,-0.64,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia blayana,22,-0.36,-0.13,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Acacia brachystachya,539,-0.9,-0.73,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia brassii,110,-0.23,0.28,0,2,3,0,0,0,0,wet (2) | moist (3)
Acacia brockii,48,-0.43,-0.13,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Acacia bromilowiana,17,-0.84,-0.76,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia brumalis,82,-0.8,-0.66,0,0,0,0,1,0,0,semi-arid (1)
Acacia bulgaensis,53,-0.5,-0.26,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Acacia burrowii,273,-0.69,-0.49,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia burrowsiana,10,-0.88,-0.84,0,0,0,0,0,1,0,arid (1)
Acacia caerulescens,46,-0.43,-0.2,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Acacia caesaneura,178,-0.87,-0.81,0,0,0,0,0,1,0,arid (1)
Acacia caesiella,224,-0.53,-0.03,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia calamifolia,1392,-0.8,-0.58,0,0,0,0,1,0,0,semi-arid (1)
Acacia calcicola,291,-0.9,-0.77,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia cambagei,917,-0.92,-0.69,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia cana,132,-0.87,-0.76,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia cangaiensis,36,-0.19,0.11,0,2,3,0,0,0,0,wet (2) | moist (3)
Acacia cardiophylla,113,-0.69,-0.22,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia carneorum,301,-0.91,-0.82,0,0,0,0,0,1,0,arid (1)
Acacia caroleae,492,-0.65,-0.49,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia catenulata,164,-0.85,-0.59,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia celastrifolia,108,-0.73,-0.16,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia chartacea,69,-0.87,-0.8,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia chisholmii,260,-0.82,-0.55,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia chrysotricha,21,0.25,0.33,0,1,0,0,0,0,0,wet (1)
Acacia cincinnata,129,-0.22,0.57,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Acacia citrinoviridis,186,-0.89,-0.79,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia clunies-rossiae,125,-0.3,-0.15,0,0,1,0,0,0,0,moist (1)
Acacia cockertoniana,107,-0.86,-0.81,0,0,0,0,0,1,0,arid (1)
Acacia cognata,550,-0.26,0.13,0,2,3,0,0,0,0,wet (2) | moist (3)
Acacia colei,580,-0.84,-0.56,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia complanata,625,-0.6,0.18,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Acacia concurrens,936,-0.48,0.19,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia conferta,595,-0.64,-0.47,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia confusa,340,-0.1,0.68,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Acacia conniana,32,-0.71,-0.45,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia conspersa,148,-0.64,-0.1,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia constricta,67,-0.87,-0.66,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia continua,732,-0.83,-0.35,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Acacia convallium,51,-0.28,-0.04,0,0,1,0,0,0,0,moist (1)
Acacia coolgardiensis,285,-0.85,-0.77,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia coriacea,269,-0.87,-0.69,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia covenyi,22,-0.24,-0.08,0,0,1,0,0,0,0,moist (1)
Acacia cowaniana,3,-0.79,-0.77,0,0,0,0,1,0,0,semi-arid (1)
Acacia cowleana,406,-0.83,-0.59,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia craspedocarpa,177,-0.88,-0.83,0,0,0,0,0,1,0,arid (1)
Acacia crassa,596,-0.63,-0.36,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia crassicarpa,384,-0.39,0.42,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia crenulata,15,-0.83,-0.77,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia cretata,71,-0.66,-0.53,0,0,0,0,1,0,0,semi-arid (1)
Acacia crombiei,45,-0.77,-0.7,0,0,0,0,1,0,0,semi-arid (1)
Acacia cultriformis,335,-0.64,-0.19,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia curvinervia,122,-0.71,-0.55,0,0,0,0,1,0,0,semi-arid (1)
Acacia cuspidifolia,39,-0.89,-0.85,0,0,0,0,0,1,0,arid (1)
Acacia cuthbertsonii,410,-0.88,-0.76,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia cyclops,1290,-0.78,-0.3,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia cyperophylla,239,-0.92,-0.8,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia dallachiana,98,-0.11,0.49,0,2,3,0,0,0,0,wet (2) | moist (3)
Acacia dangarensis,6,-0.52,-0.37,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia dawsonii,311,-0.51,-0.12,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia dealbata,24706,-0.5,0.41,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia deanei,2894,-0.71,-0.38,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia debilis,85,-0.61,-0.3,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia decora,2651,-0.7,-0.33,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia decurrens,2372,-0.5,0.14,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia delibrata,50,-0.61,-0.24,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia demissa,47,-0.89,-0.85,0,0,0,0,0,1,0,arid (1)
Acacia dempsteri,37,-0.82,-0.74,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia dentifera,66,-0.72,-0.06,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia desertorum,38,-0.87,-0.77,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia desmondii,26,-0.89,-0.81,0,0,0,0,0,1,0,arid (1)
Acacia didyma,21,-0.84,-0.8,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia dietrichiana,114,-0.7,-0.1,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia difficilis,1173,-0.64,0.03,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Acacia difformis,242,-0.69,-0.4,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia dimidiata,730,-0.59,0.05,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Acacia distans,48,-0.89,-0.78,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia dodonaeifolia,223,-0.69,-0.32,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia dolichophylla,15,-0.81,-0.77,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia donaldsonii,29,-0.9,-0.79,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia doratoxylon,1560,-0.72,-0.36,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia drepanophylla,16,-0.87,-0.83,0,0,0,0,0,1,0,arid (1)
Acacia dunnii,148,-0.63,-0.28,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia duriuscula,60,-0.85,-0.77,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia echinuliflora,44,-0.47,-0.16,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Acacia effusifolia,229,-0.86,-0.79,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia elachantha,539,-0.85,-0.63,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia elata,900,-0.34,0.29,0,2,3,0,0,0,0,wet (2) | moist (3)
Acacia elongata,1092,-0.41,0.22,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia enervia,141,-0.82,-0.75,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia ensifolia,92,-0.85,-0.72,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia ephedroides,51,-0.79,-0.11,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia eremaea,86,-0.88,-0.77,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia estrophiolata,576,-0.88,-0.79,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia excelsa,741,-0.81,-0.55,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia exigua,30,-0.82,-0.79,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia falcata,2374,-0.5,0.16,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia falciformis,3730,-0.41,0.1,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia fasciculifera,126,-0.61,-0.15,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia fauntleroyi,34,-0.82,-0.75,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia filicifolia,1257,-0.49,0.1,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia filifolia,26,-0.81,-0.7,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia fimbriata,1497,-0.48,0.22,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia flavescens,403,-0.59,0.44,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Acacia fleckeri,43,-0.09,0.22,0,2,3,0,0,0,0,wet (2) | moist (3)
Acacia flocktoniae,31,-0.29,0.22,0,2,3,0,0,0,0,wet (2) | moist (3)
Acacia floribunda,2632,-0.37,0.23,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Acacia floydii,39,-0.27,0.05,0,2,3,0,0,0,0,wet (2) | moist (3)
Acacia frigescens,492,-0.15,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Acacia fulva,57,-0.34,-0.16,0,0,1,0,0,0,0,moist (1)
Acacia fuscaneura,111,-0.89,-0.83,0,0,0,0,0,1,0,arid (1)
Acacia galeata,31,-0.89,-0.81,0,0,0,0,0,1,0,arid (1)
Acacia georgensis,44,-0.27,-0.13,0,0,1,0,0,0,0,moist (1)
Acacia georginae,451,-0.93,-0.8,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia gibbosa,55,-0.82,-0.77,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia gillii,235,-0.76,-0.51,0,0,0,0,1,0,0,semi-arid (1)
Acacia glaucocaesia,18,-0.85,-0.78,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia glaucocarpa,221,-0.62,-0.35,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia gnidium,48,-0.69,-0.51,0,0,0,0,1,0,0,semi-arid (1)
Acacia gonocarpa,546,-0.62,-0.06,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia gonoclada,363,-0.76,-0.49,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia grandifolia,55,-0.58,-0.48,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia grasbyi,161,-0.88,-0.81,0,0,0,0,0,1,0,arid (1)
Acacia hakeoides,2574,-0.8,-0.51,0,0,0,0,1,0,0,semi-arid (1)
Acacia hamersleyensis,96,-0.85,-0.74,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia hammondii,544,-0.7,-0.36,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia harpophylla,756,-0.77,-0.42,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Acacia havilandiorum,401,-0.82,-0.55,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Acacia hemignosta,612,-0.81,-0.19,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Acacia hemsleyi,200,-0.8,-0.34,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia heteroclita,67,-0.77,-0.34,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Acacia heterophylla,60,0.32,0.46,0,1,0,0,0,0,0,wet (1)
Acacia holosericea,1493,-0.76,-0.02,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
