species|n|Q05|Q95|A|B|C|D|E|F|G
Acacia jennerae|240|-0.91|-0.78|0|0|0|0|2|3|0
Acacia jensenii|43|-0.86|-0.73|0|0|0|0|2|3|0
Acacia jucunda|135|-0.65|-0.53|0|0|0|0|1|0|0
Acacia julifera|468|-0.65|-0.02|0|0|2|9|3|0|0
Acacia kelleri|78|-0.57|-0.22|0|0|2|9|3|0|0
Acacia kempeana|1372|-0.89|-0.79|0|0|0|0|2|3|0
Acacia kenneallyi|8|-0.44|-0.23|0|0|2|3|0|0|0
Acacia kettlewelliae|242|-0.41|0.41|0|2|9|3|0|0|0
Acacia koa|144|-0.29|0.59|2|9|3|0|0|0|0
Acacia koaia|13|-0.28|0.54|2|9|3|0|0|0|0
Acacia lacertensis|51|-0.3|-0.12|0|0|1|0|0|0|0
Acacia lasiocalyx|324|-0.81|-0.46|0|0|0|2|9|3|0
Acacia latescens|577|-0.52|0.07|0|2|9|9|3|0|0
Acacia latifolia|142|-0.65|-0.13|0|0|2|9|3|0|0
Acacia latior|57|-0.83|-0.78|0|0|0|0|2|3|0
Acacia latzii|38|-0.89|-0.84|0|0|0|0|0|1|0
Acacia leeuweniana|5|-0.84|-0.82|0|0|0|0|0|1|0
Acacia legnota|49|-0.52|0.4|0|2|9|9|3|0|0
Acacia leiocalyx|1901|-0.62|0.1|0|2|9|9|3|0|0
Acacia leiophylla|562|-0.64|-0.21|0|0|2|9|3|0|0
Acacia leprosa|1276|-0.29|0.44|0|2|3|0|0|0|0
Acacia leptocarpa|938|-0.53|0.26|0|2|9|9|3|0|0
Acacia leptoloba|89|-0.5|0.28|0|2|9|3|0|0|0
Acacia leptopetala|120|-0.8|-0.69|0|0|0|0|1|0|0
Acacia leptostachya|710|-0.71|0.09|0|2|9|9|3|0|0
Acacia leucoclada|301|-0.58|-0.16|0|0|2|9|3|0|0
Acacia ligulata|6247|-0.92|-0.65|0|0|0|0|2|3|0
Acacia linearifolia|598|-0.55|-0.03|0|0|2|9|3|0|0
Acacia linifolia|2102|-0.32|0.22|0|2|3|0|0|0|0
Acacia loderi|270|-0.85|-0.76|0|0|0|0|2|3|0
Acacia longifolia|8844|-0.5|0.24|0|2|9|3|0|0|0
Acacia longiphyllodinea|51|-0.81|-0.76|0|0|0|0|2|3|0
Acacia longispicata|361|-0.7|-0.47|0|0|0|2|3|0|0
Acacia longispinea|180|-0.85|-0.78|0|0|0|0|2|3|0
Acacia longissima|762|-0.28|0.31|0|2|3|0|0|0|0
Acacia loroloba|66|-0.6|-0.39|0|0|0|2|3|0|0
Acacia lunata|131|-0.41|0.02|0|2|9|3|0|0|0
Acacia lysiphloia|799|-0.82|-0.56|0|0|0|0|2|3|0
Acacia mabellae|328|-0.2|0.19|0|2|3|0|0|0|0
Acacia macdonnellensis|156|-0.85|-0.77|0|0|0|0|2|3|0
Acacia maconochieana|37|-0.82|-0.69|0|0|0|0|2|3|0
Acacia macradenia|150|-0.69|-0.24|0|0|2|9|3|0|0
Acacia maidenii|2504|-0.36|0.29|0|2|9|3|0|0|0
Acacia mangium|450|-0.25|0.59|2|9|3|0|0|0|0
Acacia maranoensis|31|-0.68|-0.64|0|0|0|0|1|0|0
Acacia marramamba|52|-0.87|-0.78|0|0|0|0|2|3|0
Acacia masliniana|48|-0.87|-0.81|0|0|0|0|0|1|0
Acacia mathuataensis|1|0.56|0.56|1|0|0|0|0|0|0
Acacia matthewii|46|-0.46|-0.07|0|0|2|3|0|0|0
Acacia mearnsii|11375|-0.51|0.09|0|2|9|9|3|0|0
Acacia meiosperma|36|-0.53|-0.33|0|0|2|9|3|0|0
Acacia melanoxylon|25420|-0.45|0.44|0|2|9|3|0|0|0
Acacia melvillei|533|-0.81|-0.56|0|0|0|0|2|3|0
