species|n|Q05|Q95|A|B|C|D|E|F|G
Acacia neurocarpa|181|-0.79|-0.43|0|0|0|2|3|0|0
Acacia neurophylla|234|-0.83|-0.74|0|0|0|0|2|3|0
Acacia nyssophylla|1611|-0.87|-0.73|0|0|0|0|2|3|0
Acacia obliquinervia|1942|-0.29|0.5|2|9|3|0|0|0|0
Acacia obtusifolia|2240|-0.31|0.27|0|2|3|0|0|0|0
Acacia oldfieldii|56|-0.82|-0.71|0|0|0|0|2|3|0
Acacia olgana|96|-0.88|-0.8|0|0|0|0|2|3|0
Acacia oligoneura|49|-0.52|-0.01|0|0|2|9|3|0|0
Acacia olsenii|19|-0.34|-0.04|0|0|1|0|0|0|0
Acacia omalophylla|495|-0.8|-0.56|0|0|0|0|1|0|0
Acacia ommatosperma|17|-0.2|0.06|0|2|3|0|0|0|0
Acacia oncinocarpa|731|-0.5|0.08|0|2|9|3|0|0|0
Acacia oraria|134|-0.43|0.39|0|2|9|3|0|0|0
Acacia orites|132|-0.16|0.44|0|2|3|0|0|0|0
Acacia orthocarpa|333|-0.85|-0.54|0|0|0|0|2|3|0
Acacia oshanesii|189|-0.26|0.28|0|2|3|0|0|0|0
Acacia oswaldii|4587|-0.91|-0.64|0|0|0|0|2|3|0
Acacia oxycedrus|1527|-0.43|0.22|0|2|9|3|0|0|0
Acacia pachyacra|189|-0.88|-0.72|0|0|0|0|2|3|0
Acacia pachycarpa|68|-0.86|-0.68|0|0|0|0|2|3|0
Acacia pachyceras|17|-0.97|-0.95|0|0|0|0|0|2|3
Acacia palustris|26|-0.89|-0.83|0|0|0|0|0|1|0
Acacia papyrocarpa|1207|-0.89|-0.78|0|0|0|0|2|3|0
Acacia paradoxa|7803|-0.63|-0.13|0|0|2|9|3|0|0
Acacia paraneura|271|-0.9|-0.78|0|0|0|0|2|3|0
Acacia parramattensis|2426|-0.4|0.18|0|2|9|3|0|0|0
Acacia parvipinnula|1060|-0.49|0.02|0|2|9|3|0|0|0
Acacia pataczekii|58|-0.21|0.35|0|2|3|0|0|0|0
Acacia pedleyi|24|-0.6|-0.44|0|0|0|2|3|0|0
Acacia pellita|165|-0.65|-0.1|0|0|2|9|3|0|0
Acacia pendula|1141|-0.74|-0.51|0|0|0|0|1|0|0
Acacia penninervis|1633|-0.58|0.05|0|2|9|9|3|0|0
Acacia pentadenia|134|-0.28|0.09|0|2|3|0|0|0|0
Acacia petraea|112|-0.83|-0.72|0|0|0|0|2|3|0
Acacia peuce|105|-0.93|-0.84|0|0|0|0|0|1|0
Acacia phlebophylla|32|-0.07|0.49|0|2|3|0|0|0|0
Acacia pickardii|49|-0.93|-0.91|0|0|0|0|0|1|0
Acacia platycarpa|840|-0.71|-0.1|0|0|2|9|3|0|0
Acacia podalyriifolia|797|-0.59|0.21|0|2|9|9|3|0|0
Acacia polifolia|85|-0.68|-0.5|0|0|0|2|3|0|0
Acacia polyadenia|10|-0.61|0.29|0|2|9|9|3|0|0
Acacia polybotrya|415|-0.61|-0.4|0|0|0|2|3|0|0
Acacia polystachya|232|-0.27|0.42|0|2|3|0|0|0|0
Acacia praelongata|93|-0.33|0.07|0|2|3|0|0|0|0
Acacia prainii|320|-0.88|-0.78|0|0|0|0|2|3|0
Acacia pravissima|679|-0.44|0.28|0|2|9|3|0|0|0
Acacia proiantha|15|-0.33|-0.13|0|0|1|0|0|0|0
Acacia prominens|396|-0.35|0.21|0|2|3|0|0|0|0
Acacia pruinocarpa|398|-0.88|-0.76|0|0|0|0|2|3|0
Acacia pubescens|240|-0.34|-0.07|0|0|1|0|0|0|0
Acacia pubicosta|13|-0.57|-0.37|0|0|0|2|3|0|0
Acacia pubifolia|53|-0.45|-0.31|0|0|2|3|0|0|0
Acacia pubirhachis|61|-0.04|0.47|0|2|3|0|0|0|0
Acacia pulchella|1087|-0.72|0|0|2|9|9|3|0|0
Acacia pustula|119|-0.63|-0.45|0|0|0|2|3|0|0
Acacia pycnantha|10564|-0.7|-0.15|0|0|2|9|3|0|0
Acacia pycnostachya|36|-0.36|-0.23|0|0|2|3|0|0|0
Acacia pyrifolia|311|-0.87|-0.68|0|0|0|0|2|3|0
Acacia quadrimarginea|322|-0.88|-0.81|0|0|0|0|0|1|0
Acacia quiterajoensis|12|-0.37|-0.29|0|0|2|3|0|0|0
Acacia racospermoides|34|-0.17|0.32|0|2|3|0|0|0|0
Acacia ramulosa|1804|-0.92|-0.79|0|0|0|0|2|3|0
Acacia redolens|179|-0.78|-0.63|0|0|0|0|1|0|0
Acacia resinimarginea|153|-0.83|-0.77|0|0|0|0|2|3|0
Acacia resinistipulea|34|-0.81|-0.76|0|0|0|0|2|3|0
Acacia retinervis|63|-0.56|-0.2|0|0|2|9|3|0|0
Acacia retinodes|1488|-0.7|0.04|0|2|9|9|3|0|0
Acacia rhodophloia|370|-0.88|-0.77|0|0|0|0|2|3|0
Acacia rhodoxylon|82|-0.66|-0.46|0|0|0|2|3|0|0
Acacia riceana|357|-0.27|0.56|2|9|3|0|0|0|0
Acacia rigens|2092|-0.84|-0.65|0|0|0|0|2|3|0
Acacia rivalis|401|-0.9|-0.74|0|0|0|0|2|3|0
Acacia rostellifera|348|-0.84|-0.24|0|0|2|9|9|3|0
Acacia rostriformis|91|-0.55|-0.39|0|0|0|2|3|0|0
Acacia rothii|143|-0.41|0.25|0|2|9|3|0|0|0
Acacia roycei|38|-0.88|-0.78|0|0|0|0|2|3|0
Acacia rubida|1757|-0.48|0.22|0|2|9|3|0|0|0
Acacia saliciformis|217|-0.35|0.09|0|2|3|0|0|0|0
Acacia salicina|2300|-0.92|-0.43|0|0|0|2|9|3|0
Acacia saligna|3598|-0.75|0.13|0|2|9|9|3|0|0
Acacia saxatilis|28|-0.79|-0.72|0|0|0|0|1|0|0
Acacia schinoides|290|-0.28|0.21|0|2|3|0|0|0|0
Acacia sclerosperma|406|-0.88|-0.79|0|0|0|0|2|3|0
Acacia scopulorum|54|-0.31|-0.08|0|0|1|0|0|0|0
Acacia seclusa|1|-0.6|-0.6|0|0|0|0|1|0|0
Acacia semilunata|99|-0.62|-0.53|0|0|0|0|1|0|0
Acacia semirigida|63|-0.63|-0.42|0|0|0|2|3|0|0
Acacia sericata|34|-0.72|-0.23|0|0|2|9|3|0|0
Acacia sericoflora|73|-0.45|-0.14|0|0|2|3|0|0|0
Acacia shirleyi|832|-0.75|-0.5|0|0|0|2|3|0|0
Acacia sibilans|55|-0.89|-0.84|0|0|0|0|0|1|0
Acacia sibina|157|-0.87|-0.78|0|0|0|0|2|3|0
Acacia signata|79|-0.82|-0.71|0|0|0|0|2|3|0
Acacia silvestris|363|-0.45|-0.03|0|0|2|3|0|0|0
Acacia simplex|18|-0.24|0.57|2|9|3|0|0|0|0
Acacia simsii|510|-0.62|0.36|0|2|9|9|3|0|0
Acacia solenota|17|0.09|0.29|0|1|0|0|0|0|0
Acacia spania|22|-0.72|-0.59|0|0|0|0|1|0|0
Acacia sparsiflora|211|-0.68|-0.51|0|0|0|0|1|0|0
Acacia speckii|31|-0.88|-0.83|0|0|0|0|0|1|0
Acacia spectabilis|695|-0.64|-0.43|0|0|0|2|3|0|0
Acacia spectra|2|-0.29|-0.24|0|0|1|0|0|0|0
Acacia spirorbis|109|-0.22|0.48|0|2|3|0|0|0|0
Acacia splendens|7|-0.68|-0.61|0|0|0|0|1|0|0
Acacia steedmanii|111|-0.86|-0.73|0|0|0|0|2|3|0
Acacia stenophylla|2376|-0.92|-0.63|0|0|0|0|2|3|0
Acacia stipuligera|626|-0.84|-0.65|0|0|0|0|2|3|0
Acacia storyi|28|-0.64|-0.51|0|0|0|0|1|0|0
Acacia striatifolia|53|-0.66|-0.49|0|0|0|2|3|0|0
Acacia stricta|2330|-0.33|0.23|0|2|3|0|0|0|0
Acacia strongylophylla|151|-0.84|-0.72|0|0|0|0|2|3|0
Acacia subporosa|149|-0.25|0.1|0|2|3|0|0|0|0
Acacia subtessarogona|54|-0.89|-0.82|0|0|0|0|0|1|0
Acacia subtilinervis|151|-0.32|0.1|0|2|3|0|0|0|0
Acacia subulata|154|-0.6|-0.42|0|0|0|2|3|0|0
Acacia symonii|30|-0.88|-0.76|0|0|0|0|2|3|0
Acacia synchronicia|217|-0.88|-0.68|0|0|0|0|2|3|0
Acacia synoria|6|-0.8|-0.79|0|0|0|0|1|0|0
Acacia tenuinervis|56|-0.64|-0.53|0|0|0|0|1|0|0
Acacia tenuispica|39|-0.5|-0.35|0|0|2|3|0|0|0
Acacia tenuissima|664|-0.84|-0.66|0|0|0|0|2|3|0
Acacia tephrina|170|-0.81|-0.34|0|0|2|9|9|3|0
Acacia terminalis|6049|-0.33|0.23|0|2|3|0|0|0|0
Acacia tessellata|91|-0.2|0.37|0|2|3|0|0|0|0
Acacia tetragonophylla|3778|-0.91|-0.78|0|0|0|0|2|3|0
Acacia thomsonii|101|-0.77|-0.57|0|0|0|0|1|0|0
Acacia torulosa|812|-0.78|-0.04|0|0|2|9|3|0|0
Acacia trachycarpa|176|-0.86|-0.76|0|0|0|0|2|3|0
Acacia trachyphloia|186|-0.32|0.17|0|2|3|0|0|0|0
Acacia trinalis|12|-0.79|-0.74|0|0|0|0|1|0|0
Acacia trinervata|150|-0.36|0.16|0|2|9|3|0|0|0
Acacia trineura|214|-0.75|-0.48|0|0|0|2|3|0|0
Acacia triptera|599|-0.75|-0.32|0|0|2|9|3|0|0
Acacia triptycha|60|-0.75|-0.02|0|0|2|9|3|0|0
Acacia tropica|137|-0.73|-0.23|0|0|2|9|3|0|0
Acacia tumida|634|-0.84|-0.32|0|0|2|9|9|3|0
Acacia tysonii|82|-0.88|-0.8|0|0|0|0|2|3|0
Acacia uncifera|59|-0.67|-0.58|0|0|0|0|1|0|0
Acacia uncifolia|219|-0.47|0.08|0|2|9|3|0|0|0
Acacia undoolyana|26|-0.81|-0.79|0|0|0|0|2|3|0
Acacia unguicula|2|-0.82|-0.79|0|0|0|0|2|3|0
Acacia verniciflua|2902|-0.57|0.17|0|2|9|9|3|0|0
Acacia veronica|9|-0.67|-0.56|0|0|0|0|1|0|0
Acacia verricula|143|-0.8|-0.6|0|0|0|0|1|0|0
Acacia verticillata|7752|-0.41|0.39|0|2|9|3|0|0|0
Acacia vestita|198|-0.55|-0.23|0|0|2|9|3|0|0
Acacia victoriae|4777|-0.92|-0.67|0|0|0|0|2|3|0
Acacia viscidula|421|-0.44|0.22|0|2|9|3|0|0|0
Acacia wanyu|80|-0.88|-0.81|0|0|0|0|0|1|0
Acacia wardellii|44|-0.65|-0.58|0|0|0|0|1|0|0
Acacia wattsiana|199|-0.74|-0.52|0|0|0|0|1|0|0
Acacia websteri|9|-0.83|-0.79|0|0|0|0|2|3|0
Acacia wetarensis|5|-0.32|0|0|2|3|0|0|0|0
Acacia wilcoxii|4|-0.88|-0.85|0|0|0|0|0|1|0
Acacia willingii|1|-0.39|-0.39|0|0|0|1|0|0|0
Acacia wrightii|3|-0.77|-0.64|0|0|0|0|1|0|0
Acacia xanthina|69|-0.81|-0.39|0|0|0|2|9|3|0
Acacia xiphophylla|118|-0.89|-0.79|0|0|0|0|2|3|0
Acacia yorkrakinensis|194|-0.81|-0.75|0|0|0|0|2|3|0
Acaciella angustissima|1486|-0.73|0.35|0|2|9|9|3|0|0
Acaciella bicolor|12|-0.7|-0.05|0|0|2|9|3|0|0
Acaciella chamelensis|3|-0.49|-0.48|0|0|0|1|0|0|0
Acaciella glauca|27|-0.52|0.56|2|9|9|9|3|0|0
Acaciella goldmanii|201|-0.93|-0.6|0|0|0|0|2|3|0
Acaciella rosei|26|-0.6|-0.37|0|0|0|2|3|0|0
Acaciella villosa|99|-0.65|0.1|0|2|9|9|3|0|0
Acalypha acrogyna|8|-0.23|0.15|0|2|3|0|0|0|0
Acalypha angatensis|71|0.42|0.74|2|3|0|0|0|0|0
Acalypha apodanthes|113|-0.17|0.62|2|9|3|0|0|0|0
Acalypha brasiliensis|234|-0.61|0.24|0|2|9|9|3|0|0
Acalypha cardiophylla|33|0.33|0.67|2|3|0|0|0|0|0
Acalypha caturus|102|0.18|0.66|2|3|0|0|0|0|0
Acalypha chirindica|45|-0.46|0.14|0|2|9|3|0|0|0
Acalypha chocoana|2|0.53|0.56|1|0|0|0|0|0|0
Acalypha cuneata|363|-0.27|0.64|2|9|3|0|0|0|0
Acalypha diversifolia|1947|-0.25|0.62|2|9|3|0|0|0|0
Acalypha emirnensis|12|-0.13|0.31|0|2|3|0|0|0|0
Acalypha flagellata|14|-0.49|-0.43|0|0|0|1|0|0|0
Acalypha forsteriana|12|0.37|0.69|2|3|0|0|0|0|0
Acalypha fruticosa|123|-0.86|-0.13|0|0|2|9|9|3|0
Acalypha glabrata|122|-0.69|-0.11|0|0|2|9|3|0|0
Acalypha grandibracteata|9|0.46|0.65|2|3|0|0|0|0|0
Acalypha grandis|69|0.22|0.66|2|3|0|0|0|0|0
Acalypha hellwigii|115|0.15|0.65|2|3|0|0|0|0|0
Acalypha insulana|5|0.42|0.65|2|3|0|0|0|0|0
Acalypha lancetillae|13|-0.27|0.65|2|9|3|0|0|0|0
Acalypha lepinei|2|0.34|0.37|0|1|0|0|0|0|0
Acalypha longispica|25|0.25|0.66|2|3|0|0|0|0|0
Acalypha lyonsii|10|0.37|0.72|2|3|0|0|0|0|0
Acalypha macrostachya|1495|-0.26|0.59|2|9|3|0|0|0|0
Acalypha muelleriana|34|-0.44|0.57|2|9|9|3|0|0|0
Acalypha neptunica|104|-0.47|0.18|0|2|9|3|0|0|0
Acalypha novoguineensis|13|0.05|0.52|2|3|0|0|0|0|0
Acalypha ornata|240|-0.65|0.16|0|2|9|9|3|0|0
Acalypha padifolia|75|-0.69|0.25|0|2|9|9|3|0|0
Acalypha pancheriana|16|-0.04|0.45|0|2|3|0|0|0|0
Acalypha peruviana|29|-0.55|0.32|0|2|9|9|3|0|0
Acalypha platyphylla|138|-0.05|0.56|2|9|3|0|0|0|0
Acalypha pubiflora|13|-0.81|-0.26|0|0|2|9|9|3|0
Acalypha raivavensis|3|0.38|0.4|0|1|0|0|0|0|0
Acalypha rapensis|3|0.33|0.35|0|1|0|0|0|0|0
Acalypha repanda|19|0.4|0.71|2|3|0|0|0|0|0
Acalypha rivularis|2|0.59|0.6|1|0|0|0|0|0|0
Acalypha schiedeana|383|-0.61|0.31|0|2|9|9|3|0|0
Acalypha skutchii|62|-0.06|0.59|2|9|3|0|0|0|0
Acalypha sonderiana|11|-0.61|-0.16|0|0|2|9|3|0|0
Acalypha stachyura|227|-0.14|0.63|2|9|3|0|0|0|0
Acalypha stellata|4|-0.43|0.14|0|2|9|3|0|0|0
Acalypha stenoloba|173|-0.41|0.55|2|9|9|3|0|0|0
Acalypha stricta|234|-0.45|0.53|2|9|9|3|0|0|0
Acalypha subintegra|2|0.55|0.58|1|0|0|0|0|0|0
Acalypha tenuifolia|6|-0.53|0.2|0|2|9|9|3|0|0
Acalypha vellamea|23|-0.3|0.08|0|2|3|0|0|0|0
Acalypha villosa|555|-0.48|0.47|0|2|9|3|0|0|0
Acalypha wilkesiana|505|-0.65|0.54|2|9|9|9|3|0|0
Acanthella sprucei|152|0.27|0.47|0|1|0|0|0|0|0
Acanthocladus dichromus|24|-0.53|0.14|0|2|9|9|3|0|0
Acanthocladus dukei|1|0.27|0.27|0|1|0|0|0|0|0
Acanthocladus guayaquilensis|2|-0.64|-0.44|0|0|0|2|3|0|0
Acanthocladus pulcherrimus|13|-0.26|0.24|0|2|3|0|0|0|0
Acanthocladus santosii|3|-0.47|-0.2|0|0|2|3|0|0|0
Acanthocladus scleroxylon|7|0.34|0.58|2|3|0|0|0|0|0
Acanthophoenix crinita|16|0.32|0.49|0|1|0|0|0|0|0
Acanthophoenix rubra|18|0.03|0.49|0|1|0|0|0|0|0
Acanthosyris annonagustata|14|0.24|0.57|2|3|0|0|0|0|0
Acanthosyris asipapote|3|-0.19|-0.14|0|0|1|0|0|0|0
Acanthosyris falcata|26|-0.71|-0.08|0|0|2|9|3|0|0
Acanthosyris glabrata|14|-0.7|-0.18|0|0|2|9|3|0|0
Acanthosyris paulo-alvinii|3|0.24|0.29|0|1|0|0|0|0|0
Acanthosyris spinescens|16|-0.23|0.14|0|2|3|0|0|0|0
Acca lanuginosa|1|-0.35|-0.35|0|0|1|0|0|0|0
Acca macrostema|6|-0.58|-0.53|0|0|0|0|1|0|0
Acca sellowiana|353|-0.51|0.42|0|2|9|9|3|0|0
Acer acuminatum|36|-0.18|0.26|0|2|3|0|0|0|0
Acer amamiense|1|0.62|0.62|1|0|0|0|0|0|0
Acer amplum|47|0.01|0.34|0|1|0|0|0|0|0
Acer argutum|265|0.26|0.69|2|3|0|0|0|0|0
Acer barbinerve|139|-0.06|0.48|0|2|3|0|0|0|0
Acer buergerianum|248|-0.39|0.68|2|9|9|3|0|0|0
Acer caesium|41|-0.43|0.38|0|2|9|3|0|0|0
Acer calcaratum|6|-0.32|0.44|0|2|3|0|0|0|0
Acer campbellii|161|-0.19|0.5|2|9|3|0|0|0|0
Acer campestre|99462|-0.26|0.35|0|2|3|0|0|0|0
Acer capillipes|179|0.26|0.6|2|3|0|0|0|0|0
Acer cappadocicum|296|-0.36|0.47|0|2|9|3|0|0|0
Acer carpinifolium|613|0.26|0.65|2|3|0|0|0|0|0
Acer caudatifolium|253|0.55|0.8|1|0|0|0|0|0|0
Acer caudatum|425|-0.17|0.67|2|9|3|0|0|0|0
Acer chiangdaoense|4|-0.28|0.04|0|2|3|0|0|0|0
Acer circinatum|2545|-0.01|0.7|2|9|3|0|0|0|0
Acer cissifolium|392|0.19|0.61|2|3|0|0|0|0|0
Acer cordatum|90|0.07|0.37|0|1|0|0|0|0|0
Acer coriaceifolium|44|-0.13|0.36|0|2|3|0|0|0|0
Acer crassum|3|-0.23|0.23|0|2|3|0|0|0|0
Acer crataegifolium|962|0.2|0.6|2|3|0|0|0|0|0
Acer davidii|389|-0.42|0.36|0|2|9|3|0|0|0
Acer diabolicum|275|0.21|0.64|2|3|0|0|0|0|0
Acer distylum|279|0.22|0.62|2|3|0|0|0|0|0
Acer duplicatoserratum|32|0.14|0.78|2|3|0|0|0|0|0
Acer erianthum|39|-0.22|0.41|0|2|3|0|0|0|0
Acer erythranthum|2|0.24|0.44|0|1|0|0|0|0|0
Acer fabri|127|0.01|0.36|0|1|0|0|0|0|0
Acer fenzelianum|3|0.23|0.29|0|1|0|0|0|0|0
Acer glabrum|3432|-0.68|0.58|2|9|9|9|3|0|0
Acer gracilifolium|2|-0.38|-0.2|0|0|2|3|0|0|0
Acer granatense|765|-0.69|-0.33|0|0|2|9|3|0|0
Acer griseum|95|-0.46|0.46|0|2|9|3|0|0|0
Acer heldreichii|100|-0.45|0.56|2|9|9|3|0|0|0
Acer henryi|76|-0.4|0.35|0|2|9|3|0|0|0
Acer hyrcanum|32|-0.56|0.23|0|2|9|9|3|0|0
Acer japonicum|972|0.17|0.63|2|3|0|0|0|0|0
Acer laevigatum|66|-0.19|0.52|2|9|3|0|0|0|0
Acer laurinum|53|-0.3|0.66|2|9|3|0|0|0|0
Acer leipoense|3|0.21|0.23|0|1|0|0|0|0|0
Acer longipes|16|-0.42|0.34|0|2|9|3|0|0|0
Acer lucidum|7|0.13|0.35|0|1|0|0|0|0|0
Acer macrophyllum|4923|-0.61|0.63|2|9|9|9|3|0|0
Acer mandshuricum|125|-0.14|0.46|0|2|3|0|0|0|0
Acer miaoshanicum|1|0.21|0.21|0|1|0|0|0|0|0
Acer micranthum|562|0.33|0.66|2|3|0|0|0|0|0
Acer miyabei|17|-0.16|0.53|2|9|3|0|0|0|0
Acer monspessulanum|7955|-0.59|0.24|0|2|9|9|3|0|0
Acer morifolium|12|0.65|0.79|1|0|0|0|0|0|0
Acer negundo|41392|-0.62|0.19|0|2|9|9|3|0|0
Acer nipponicum|220|0.34|0.67|2|3|0|0|0|0|0
Acer oblongum|218|-0.22|0.71|2|9|3|0|0|0|0
Acer obtusifolium|56|-0.62|-0.15|0|0|2|9|3|0|0
Acer oligocarpum|2|0.16|0.21|0|1|0|0|0|0|0
Acer oliverianum|223|-0.16|0.75|2|9|3|0|0|0|0
Acer opalus|6001|-0.17|0.46|0|2|3|0|0|0|0
Acer palmatum|4008|-0.1|0.58|2|9|3|0|0|0|0
Acer pauciflorum|5|0.14|0.33|0|1|0|0|0|0|0
Acer paxii|38|-0.62|0.36|0|2|9|9|3|0|0
Acer pectinatum|116|-0.45|0.47|0|2|9|3|0|0|0
Acer pensylvanicum|4577|-0.01|0.45|0|2|3|0|0|0|0
Acer pentaphyllum|8|-0.33|0.57|2|9|3|0|0|0|0
Acer pentapomicum|7|-0.62|-0.1|0|0|2|9|3|0|0
Acer pictum|3094|0.08|0.61|2|3|0|0|0|0|0
Acer pilosum|8|-0.59|-0.37|0|0|0|2|3|0|0
Acer platanoides|114582|-0.25|0.41|0|2|3|0|0|0|0
Acer pseudoplatanus|151449|-0.23|0.57|2|9|3|0|0|0|0
Acer pseudosieboldianum|947|0.13|0.41|0|1|0|0|0|0|0
Acer pubipalmatum|5|0.14|0.35|0|1|0|0|0|0|0
Acer pycnanthum|6|0.2|0.57|2|3|0|0|0|0|0
Acer robustum|15|-0.62|0.32|0|2|9|9|3|0|0
Acer rubescens|9|0.64|0.79|1|0|0|0|0|0|0
Acer rubrum|14718|-0.15|0.37|0|2|3|0|0|0|0
Acer rufinerve|1109|0.21|0.65|2|3|0|0|0|0|0
Acer saccharinum|10664|-0.3|0.26|0|2|3|0|0|0|0
Acer saccharum|7124|-0.14|0.37|0|2|3|0|0|0|0
Acer sempervirens|76|-0.52|0.13|0|2|9|9|3|0|0
Acer shenkanense|1|0.21|0.21|0|1|0|0|0|0|0
Acer shirasawanum|437|0.28|0.68|2|3|0|0|0|0|0
Acer sieboldianum|949|0.29|0.64|2|3|0|0|0|0|0
Acer sikkimense|27|-0.22|0.55|2|9|3|0|0|0|0
Acer sino-oblongum|7|-0.17|0.48|0|2|3|0|0|0|0
Acer sinopurpurascens|4|0.18|0.45|0|1|0|0|0|0|0
Acer sosnowskyi|1|0.41|0.41|0|1|0|0|0|0|0
Acer spicatum|2674|-0.16|0.47|0|2|3|0|0|0|0
Acer stachyophyllum|58|-0.39|0.32|0|2|9|3|0|0|0
Acer sterculiaceum|66|-0.32|0.51|2|9|3|0|0|0|0
Acer sutchuenense|5|0.02|0.32|0|1|0|0|0|0|0
Acer tataricum|4548|-0.38|0.34|0|2|9|3|0|0|0
Acer tegmentosum|147|-0.25|0.43|0|2|3|0|0|0|0
Acer tenellum|11|0.02|0.3|0|1|0|0|0|0|0
Acer tibetense|1|0.27|0.27|0|1|0|0|0|0|0
Acer tonkinense|21|-0.13|0.52|2|9|3|0|0|0|0
Acer triflorum|164|0.2|0.38|0|1|0|0|0|0|0
Acer truncatum|138|-0.56|0.42|0|2|9|9|3|0|0
Acer tschonoskii|393|0.29|0.69|2|3|0|0|0|0|0
Acer tutcheri|21|0.16|0.48|0|1|0|0|0|0|0
Acer velutinum|13|-0.75|0.54|2|9|9|9|3|0|0
Acer wangchii|2|0.15|0.18|0|1|0|0|0|0|0
Acer wardii|26|0.08|0.28|0|1|0|0|0|0|0
Acer yui|2|-0.45|-0.24|0|0|2|3|0|0|0
Aceratium archboldianum|9|0.39|0.62|2|3|0|0|0|0|0
Aceratium brassii|12|0.3|0.62|2|3|0|0|0|0|0
Aceratium concinnum|43|0.03|0.68|2|3|0|0|0|0|0
Aceratium doggrellii|41|0.07|0.63|2|3|0|0|0|0|0
Aceratium ferrugineum|42|-0.02|0.64|2|9|3|0|0|0|0
Aceratium ledermannii|32|0.15|0.64|2|3|0|0|0|0|0
Aceratium megalospermum|102|0.24|0.7|2|3|0|0|0|0|0
Aceratium muellerianum|16|0.21|0.63|2|3|0|0|0|0|0
Aceratium oppositifolium|80|0.07|0.64|2|3|0|0|0|0|0
Aceratium pachypetalum|7|0.29|0.61|2|3|0|0|0|0|0
Aceratium parvifolium|11|0.3|0.74|2|3|0|0|0|0|0
Aceratium pittosporoides|9|0.14|0.62|2|3|0|0|0|0|0
Aceratium sericeum|3|0.37|0.41|0|1|0|0|0|0|0
Aceratium sericoleopsis|18|0.4|0.72|2|3|0|0|0|0|0
Aceratium sinuatum|3|0.41|0.65|2|3|0|0|0|0|0
Aceratium sphaerocarpum|5|0.3|0.72|2|3|0|0|0|0|0
Aceratium tomentosum|8|0.43|0.63|2|3|0|0|0|0|0
Achatocarpus gracilis|66|-0.55|-0.29|0|0|2|9|3|0|0
Achatocarpus nigricans|359|-0.51|0.31|0|2|9|9|3|0|0
Achatocarpus praecox|201|-0.67|0.16|0|2|9|9|3|0|0
Achatocarpus pubescens|95|-0.69|-0.04|0|0|2|9|3|0|0
Achyranthes arborescens|1|-0.39|-0.39|0|0|0|1|0|0|0
Achyranthes marchionica|2|0.26|0.52|2|3|0|0|0|0|0
Acidocroton gentryi|2|0|0.02|0|1|0|0|0|0|0
Acidocroton verrucosus|2|0.1|0.29|0|1|0|0|0|0|0
Acioa dolichopoda|36|0.35|0.5|2|3|0|0|0|0|0
Acioa edulis|9|0.2|0.45|0|1|0|0|0|0|0
Acioa guianensis|9|0.24|0.54|2|3|0|0|0|0|0
Acioa longipendula|9|0.31|0.37|0|1|0|0|0|0|0
Acioa schultesii|9|-0.3|0.44|0|2|3|0|0|0|0
Acioa somnolens|1|0.37|0.37|0|1|0|0|0|0|0
Ackama australiensis|15|-0.04|0.63|2|9|3|0|0|0|0
Ackama nubicola|5|0.29|0.64|2|3|0|0|0|0|0
Ackama paniculosa|5|0.06|0.42|0|1|0|0|0|0|0
Ackama rosifolia|2|0.26|0.37|0|1|0|0|0|0|0
Acmanthera cowanii|1|0.35|0.35|0|1|0|0|0|0|0
Acmanthera duckei|1|0.3|0.3|0|1|0|0|0|0|0
Acmanthera latifolia|20|0.31|0.39|0|1|0|0|0|0|0
Acmanthera longifolia|2|0.33|0.33|0|1|0|0|0|0|0
Acmanthera parviflora|5|0.3|0.39|0|1|0|0|0|0|0
Acmopyle pancheri|53|0.27|0.67|2|3|0|0|0|0|0
Acmopyle sahniana|5|0.57|0.64|1|0|0|0|0|0|0
Acoelorraphe wrightii|325|-0.37|0.5|2|9|9|3|0|0|0
Acokanthera laevigata|3|-0.35|-0.05|0|0|1|0|0|0|0
Acokanthera oblongifolia|59|-0.84|0.22|0|2|9|9|9|3|0
Acokanthera oppositifolia|117|-0.66|-0.13|0|0|2|9|3|0|0
Acokanthera rotundata|29|-0.64|-0.22|0|0|2|9|3|0|0
Acokanthera schimperi|56|-0.93|-0.13|0|0|2|9|9|3|0
Acosmium cardenasii|54|-0.49|-0.28|0|0|2|3|0|0|0
Acosmium diffusissimum|18|-0.61|-0.25|0|0|2|9|3|0|0
Acosmium lentiscifolium|28|-0.63|-0.1|0|0|2|9|3|0|0
Acradenia euodiiformis|260|-0.03|0.44|0|2|3|0|0|0|0
Acradenia frankliniae|77|0.46|0.68|2|3|0|0|0|0|0
Acranthera athroophlebia|3|0.42|0.58|2|3|0|0|0|0|0
Acridocarpus austrocaledonicus|15|0.12|0.49|0|1|0|0|0|0|0
Acridocarpus excelsus|75|-0.58|-0.01|0|0|2|9|3|0|0
Acridocarpus humbertii|7|-0.69|-0.65|0|0|0|0|1|0|0
Acridocarpus katangensis|12|-0.41|-0.28|0|0|2|3|0|0|0
Acridocarpus macrocalyx|34|-0.15|0.5|2|9|3|0|0|0|0
Acridocarpus natalitius|72|-0.58|-0.06|0|0|2|9|3|0|0
Acridocarpus perrieri|7|-0.24|-0.04|0|0|1|0|0|0|0
Acridocarpus plagiopterus|45|-0.27|0.55|2|9|3|0|0|0|0
Acridocarpus socotranus|12|-0.95|-0.85|0|0|0|0|0|1|0
